expt_no_true,expt_no,sit_probability,bend_probability,stand_probability,tampered_probability,inaction_probability,w_bl,w_br,w_b_sum,w_b_change,w_fl,w_fr,w_f_sum,w_f_change,v_bidet,v_tissue,label,sit_total,bend_total,stand_total,tampered_total,inaction_total,predicted_label
22,5,0.000704301,0.999295612,1.26E-07,1.29E-08,2.06E-09,732,261.4,993.4,67.41,442.42,84.13,526.55,-447.07,4,0,0,0.000478925,0.679521016,8.57E-08,8.77E-09,0.320000001,1
22,5,0.997060975,0.002939072,1.47E-08,1.29E-08,2.06E-09,732,261.4,993.4,0,442.42,84.13,526.55,0,4,0,0,0.998001463,0.001998569,1.00E-08,8.77E-09,1.40E-09,0
22,5,0.999999762,2.30E-07,3.69E-10,1.57E-10,2.06E-09,776.27,288.76,1065.03,71.63,161.18,33.09,194.27,-332.28,4,0,0,0.999999838,1.56E-07,2.51E-10,1.07E-10,1.40E-09,0
22,5,1,4.44E-08,2.10E-10,2.91E-11,2.06E-09,842.6,350.63,1193.23,128.2,26.94,11.54,38.48,-155.79,4,0,0,1,3.02E-08,1.43E-10,1.98E-11,1.40E-09,0
22,5,1,2.09E-08,1.82E-10,1.11E-11,2.06E-09,859.64,367.61,1227.25,34.02,15.95,8.35,24.3,-14.18,4,0,0,1,1.42E-08,1.24E-10,7.55E-12,1.40E-09,0
22,5,1,1.98E-08,1.66E-10,1.12E-11,2.06E-09,870.23,376.72,1246.95,19.7,15.02,6.47,21.49,-2.81,4,0,0,1,1.35E-08,1.13E-10,7.62E-12,1.40E-09,0
22,5,1,1.45E-08,1.63E-10,8.13E-12,2.06E-09,876.31,385.41,1261.72,14.77,13.07,6.95,20.02,-1.47,4,0,0,1,9.86E-09,1.11E-10,5.53E-12,1.40E-09,0
28,6,0.999999881,8.15E-08,2.45E-10,6.09E-11,2.06E-09,0,0,0,0,NA,NA,NA,0,0,0,0,0.999999919,5.54E-08,1.67E-10,4.14E-11,1.40E-09,0
28,6,0.999999881,1.26E-07,2.52E-10,8.26E-11,2.06E-09,779.05,586.75,1365.8,1365.8,4.35,0,4.35,4.35,0,0,0,0.999999919,8.57E-08,1.71E-10,5.62E-11,1.40E-09,0
28,6,0.999999762,2.90E-07,2.77E-10,1.95E-10,2.06E-09,862.11,653.53,1515.64,149.84,3.47,0,3.47,-0.88,0,0,0,0.999999838,1.97E-07,1.88E-10,1.33E-10,1.40E-09,0
28,6,0.999999762,2.53E-07,3.03E-10,1.25E-10,2.06E-09,890.97,687.47,1578.44,62.8,4.71,0,4.71,1.24,0,0,0,0.999999838,1.72E-07,2.06E-10,8.50E-11,1.40E-09,0
28,6,0.999999642,3.92E-07,3.15E-10,2.29E-10,2.06E-09,890.97,687.47,1578.44,0,4.71,0,4.71,0,0,0,0,0.999999757,2.67E-07,2.14E-10,1.56E-10,1.40E-09,0
28,6,0.999999166,8.53E-07,3.01E-10,6.21E-10,2.06E-09,892.88,689.04,1581.92,3.48,4.35,0,4.35,-0.36,0,0,0,0.999999433,5.80E-07,2.05E-10,4.22E-10,1.40E-09,0
28,6,0.999998689,1.28E-06,3.42E-10,9.63E-10,2.06E-09,894.92,691.7,1586.62,4.7,4.17,0.1,4.27,-0.08,0,0,0,0.999999109,8.70E-07,2.33E-10,6.55E-10,1.40E-09,0
